Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date,Time in role
1,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Jakarta,4296,OIAP Expatriates,Commercial O-I Asia Pacific,1/10/2012,20/12/2018,Commercial,VP Sales & Marketing,17/12/1997,2271
15,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Sales & Marketing,1/01/2008,28/02/2014,,General Manager Sales and Marketing,9/10/1989,2250
15,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Jakarta,4296,OIAP Expatriates,O-I Asia Pacific,1/03/2014,1/08/2019,Commercial,"General Director, O-I BJC Vietnam Glass",9/10/1989,1979
16,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Strategy and Integration O-I AP,1/08/2011,1/08/2019,Strategy & Integration,VP Strategy & Integration,20/05/1996,2922
288,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,A Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,21/02/1994,2216
290,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,7/07/2013,4/03/2016,,MULTI SKILLED OPERATOR,28/08/1989,971
293,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,8/09/1998,2216
295,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,GENERAL PLANT OPERATOR,16/10/1988,2216
297,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,16/10/1988,2216
299,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,15/07/1996,2216
