Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date
10000002,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1100,NZ Batch,Raw Material,4/08/2013,2/08/2014,,Raw Material Operator,12/03/1987
10000002,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1100,NZ Batch,Raw Material,3/08/2014,1/08/2015,,Raw Material Operator,12/03/1987
10000002,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1100,NZ Batch,Raw Material,2/08/2015,31/07/2016,,Raw Material Operator,12/03/1987
10000002,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1100,NZ Batch,Raw Material,1/08/2016,31/07/2017,,Raw Material Operator,12/03/1987
10000002,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1100,NZ Batch,Raw Material,1/08/2017,31/07/2018,,Raw Material Operator,12/03/1987
10000002,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1100,NZ Batch,Raw Material,1/08/2017,31/07/2018,Manufacturing & Engineering,Raw Material Operator,12/03/1987
10000002,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1100,NZ Batch,Raw Material,1/08/2018,31/12/9999,Manufacturing & Engineering,Raw Material Operator,12/03/1987
10000003,Promotion,Promotion,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1270,NZ Manufacturing,Flexible Manufacturing Unit,1/05/2006,31/12/9999,,Line Manager,31/07/1995
10000003,Promotion,Promotion,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1270,NZ Manufacturing,Unit Plant Management,1/05/2006,31/12/9999,,Line Manager,31/07/1995
10000003,Promotion,Promotion,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1270,NZ Manufacturing,Unit Plant Management,1/05/2006,31/12/9999,Manufacturing & Engineering,Line Manager,31/07/1995
10000009,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,4/08/2013,2/08/2014,,Forming Services Fitter,6/07/1977
10000009,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,3/08/2014,1/08/2015,,Forming Services Fitter,6/07/1977
10000009,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,2/08/2015,31/07/2016,,Forming Services Fitter,6/07/1977
10000009,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,1/08/2016,31/07/2017,,Forming Services Fitter,6/07/1977
10000009,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,1/08/2017,31/07/2018,,Forming Services Fitter,6/07/1977
10000009,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,1/08/2017,31/07/2018,Manufacturing & Engineering,Forming Services Fitter,6/07/1977
10000009,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,1/08/2018,31/12/9999,Manufacturing & Engineering,Forming Services Fitter,6/07/1977
10000011,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming D Shift,4/08/2013,2/08/2014,,Waremaker Non Staff Foreman,8/06/1987
10000011,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming D Shift,3/08/2014,1/08/2015,,Waremaker Non Staff Foreman,8/06/1987
10000011,Change in pay,Pay scale increase,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming D Shift,2/08/2015,31/07/2016,,Waremaker Non Staff Foreman,8/06/1987
