Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action
00000001,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Jakarta,4296,OIAP Expatriates,Commercial O-I Asia Pacific,21/12/2018
00000002,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,WA - GPA - Staff,Perth Day,4380,AU Wine & Food,Wine Segment,21/12/2013
00000003,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,4375,AU Sales & Marketing,Sales & Marketing Australia,1/01/2006
00000006,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4375,AU Sales & Marketing,Sales South Australia,5/04/2008
00000009,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4360,OI Austl Marketing,Marketing,29/09/2007
00000010,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4375,AU Sales & Marketing,Sales South Australia,18/08/2007
00000012,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4360,OI Austl Marketing,Marketing,24/08/2002
00000013,Auto Terminations,Approved Early Retirement,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,4375,AU Sales & Marketing,Sales,20/12/2003
00000017,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,ACI Personnel Area GPA,Marketing&Sales,,,,7/11/1998
00000042,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8120,PTH Forming Services,E Shift,23/01/2001
00000046,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8240,PTH Maint - Machine,Machine Maintenance,9/08/2003
00000077,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8160,PTH Inspect,A Shift,27/10/1999
00000100,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8240,PTH Maint - Machine,Machine Maintenance,6/10/2001
00000101,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,,,,12/09/2003
00000107,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningvale Day,8180,PTH Audit,Audit and Resort,16/10/2001
00000132,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8120,PTH Forming Services,D Shift,17/08/2003
00000139,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6110,BNE Melt,Batch & Furnace,10/12/2011
00000140,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,1430,TECH Analytical Serv,Analytical Services,5/05/2001
00000172,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,29/06/2013
00000177,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,29/06/2013
00000289,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),17/09/2003
00000290,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,5/03/2016
00000291,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9250,SYD Maint - Cold End,Maintenance-Cold End,11/01/2003
