Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr code,Cost Center,Organizational Unit,Date,Turnover,TurnABS
00000001,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Jakarta,4296,OIAP Expatriates,Commercial O-I Asia Pacific,21/12/2018,-1,1
00000002,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,WA - GPA - Staff,Perth Day,4380,AU Wine & Food,Wine Segment,21/12/2013,-1,1
00000003,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,4375,AU Sales & Marketing,Sales & Marketing Australia,1/01/2006,-1,1
00000006,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4375,AU Sales & Marketing,Sales South Australia,5/04/2008,-1,1
00000009,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4360,OI Austl Marketing,Marketing,29/09/2007,-1,1
00000010,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4375,AU Sales & Marketing,Sales South Australia,18/08/2007,-1,1
00000012,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4360,OI Austl Marketing,Marketing,24/08/2002,-1,1
00000013,Auto Terminations,Approved Early Retirement,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,4375,AU Sales & Marketing,Sales,20/12/2003,-1,1
00000017,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,ACI Personnel Area GPA,Marketing&Sales,,,,7/11/1998,-1,1
00000042,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8120,PTH Forming Services,E Shift,23/01/2001,-1,1
00000046,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8240,PTH Maint - Machine,Machine Maintenance,9/08/2003,-1,1
00000077,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8160,PTH Inspect,A Shift,27/10/1999,-1,1
00000100,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8240,PTH Maint - Machine,Machine Maintenance,6/10/2001,-1,1
00000101,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,,,,12/09/2003,-1,1
00000107,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningvale Day,8180,PTH Audit,Audit and Resort,16/10/2001,-1,1
00000132,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,WA - GPA - Wages,Canningva Shift,8120,PTH Forming Services,D Shift,17/08/2003,-1,1
00000139,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6110,BNE Melt,Batch & Furnace,10/12/2011,-1,1
00000140,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,1430,TECH Analytical Serv,Analytical Services,5/05/2001,-1,1
00000172,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,29/06/2013,-1,1
00000177,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,29/06/2013,-1,1
00000289,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),17/09/2003,-1,1
00000290,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,5/03/2016,-1,1
00000291,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9250,SYD Maint - Cold End,Maintenance-Cold End,11/01/2003,-1,1
00000292,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Cold End Job Change,12/11/2001,-1,1
00000294,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,26/04/2003,-1,1
00000296,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,31/05/2002,-1,1
00000298,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,16/08/2008,-1,1
00000300,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,D Shift,24/10/2010,-1,1
00000301,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Plant Procedures & Specifications (ISO),11/06/2005,-1,1
00000306,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9240,SYD Maint - Machine,Machine Maintenance,17/03/2013,-1,1
00000306,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,,,,17/03/2013,-1,1
00000307,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,26/07/2005,-1,1
00000308,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,22/08/2004,-1,1
00000310,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,AUDIT,13/11/2013,-1,1
00000314,Auto Terminations,Retrenchment(Don't Use),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013,-1,1
00000315,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,1/01/2003,-1,1
00000318,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,13/11/2013,-1,1
00000319,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9002,SYD Shift 2,B Shift,13/11/2013,-1,1
00000320,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,B Shift,24/06/2019,-1,1
00000320,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,,,,24/06/2019,-1,1
00000321,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,9/11/2013,-1,1
00000323,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,5/07/2011,-1,1
00000325,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9280,SYD Cust Tech Serv,Customer Technical Services,28/02/2004,-1,1
00000326,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,12/03/2006,-1,1
