"pers_no","organizational_unit","date","turn_abs","location","years"
1,"Commercial O-I Asia Pacific",2018-12-21,1,"Other",2018
2,"Wine Segment",2013-12-21,1,"Other",2013
3,"Sales & Marketing Australia",2006-01-01,1,"Brisbane",2006
6,"Sales South Australia",2008-04-05,1,"Adelaide",2008
9,"Marketing",2007-09-29,1,"Melbourne",2007
10,"Sales South Australia",2007-08-18,1,"Adelaide",2007
12,"Marketing",2002-08-24,1,"Melbourne",2002
13,"Sales",2003-12-20,1,"Melbourne",2003
42,"E Shift",2001-01-23,1,"Other",2001
46,"Machine Maintenance",2003-08-09,1,"Other",2003
100,"Machine Maintenance",2001-10-06,1,"Other",2001
101,"",2003-09-12,1,"Other",2003
107,"Audit and Resort",2001-10-16,1,"Other",2001
132,"D Shift",2003-08-17,1,"Other",2003
139,"Batch & Furnace",2011-12-10,1,"Brisbane",2011
140,"Analytical Services",2001-05-05,1,"Melbourne",2001
172,"Analytical Services",2013-06-29,1,"Melbourne",2013
177,"Analytical Services",2013-06-29,1,"Melbourne",2013
289,"Plant Procedures & Specifications (ISO)",2003-09-17,1,"Sydney",2003
290,"C Shift",2016-03-05,1,"Sydney",2016
291,"Maintenance-Cold End",2003-01-11,1,"Sydney",2003
292,"Cold End Job Change",2001-11-12,1,"Sydney",2001
294,"B Shift",2003-04-26,1,"Sydney",2003
296,"A Shift",2002-05-31,1,"Sydney",2002
298,"C Shift",2008-08-16,1,"Sydney",2008
300,"D Shift",2010-10-24,1,"Sydney",2010
301,"Plant Procedures & Specifications (ISO)",2005-06-11,1,"Sydney",2005
306,"Machine Maintenance",2013-03-17,1,"Sydney",2013
307,"C Shift",2005-07-26,1,"Sydney",2005
308,"B Shift",2004-08-22,1,"Sydney",2004
310,"AUDIT",2013-11-13,1,"Sydney",2013
314,"A Shift",2013-11-12,1,"Sydney",2013
315,"Mould Repair",2003-01-01,1,"Sydney",2003
318,"Mould Repair",2013-11-13,1,"Sydney",2013
319,"B Shift",2013-11-13,1,"Sydney",2013
320,"B Shift",2019-06-24,1,"Sydney",2019
321,"Batch & Furnace",2013-11-09,1,"Sydney",2013
323,"Batch & Furnace",2011-07-05,1,"Sydney",2011
325,"Customer Technical Services",2004-02-28,1,"Sydney",2004
326,"Batch & Furnace",2006-03-12,1,"Sydney",2006
327,"D Shift",2013-11-13,1,"Sydney",2013
329,"Maintenance-Cold End",2011-10-30,1,"Sydney",2011
330,"Inspection & Packaging",2005-03-20,1,"Sydney",2005
337,"D Shift",2013-11-13,1,"Sydney",2013
339,"Engineering",2000-03-25,1,"Sydney",2000
342,"Plant Mechanical Sydney",2013-11-13,1,"Sydney",2013
344,"C Shift",2013-11-13,1,"Sydney",2013
346,"Batch & Furnace",2013-12-29,1,"Sydney",2013
347,"Cold End Job Change",2013-11-13,1,"Sydney",2013
348,"C Shift",2002-12-23,1,"Sydney",2002
350,"Batch & Furnace",2013-12-29,1,"Sydney",2013
351,"AUDIT",2013-11-12,1,"Sydney",2013
352,"A Shift",2000-01-22,1,"Sydney",2000
354,"Mould Repair",2015-01-17,1,"Sydney",2015
356,"A Shift",2013-11-12,1,"Sydney",2013
357,"D Shift",2008-09-13,1,"Sydney",2008
358,"Customer Technical Services",2017-08-01,1,"Sydney",2017
360,"Machine Maintenance",2004-04-03,1,"Sydney",2004
361,"Plant Procedures & Specifications (ISO)",2003-02-22,1,"Sydney",2003
363,"Batch & Furnace",2013-12-29,1,"Sydney",2013
364,"A Shift",2007-03-26,1,"Sydney",2007
367,"Manufacturing",2013-06-29,1,"Sydney",2013
372,"Plant Procedures & Specifications (ISO)",2004-11-06,1,"Sydney",2004
374,"D Shift",2007-08-27,1,"Sydney",2007
376,"C Shift",2008-01-26,1,"Sydney",2008
377,"D Shift",2013-11-13,1,"Sydney",2013
381,"Mould Repair",2013-11-13,1,"Sydney",2013
382,"Batch & Furnace",2004-01-23,1,"Sydney",2004
386,"Engineering",2002-02-17,1,"Sydney",2002
391,"Machine Maintenance",2007-08-18,1,"Sydney",2007
392,"C Shift",2013-11-13,1,"Sydney",2013
393,"A Shift",2013-11-13,1,"Sydney",2013
398,"Plant Electrical Sydney",2013-11-30,1,"Sydney",2013
399,"Cold End Job Change",2013-11-13,1,"Sydney",2013
401,"Plant Maintenance Sydney",2013-11-13,1,"Sydney",2013
404,"Batch & Furnace",2008-07-18,1,"Sydney",2008
406,"Maintenance-Cold End",2013-03-17,1,"Sydney",2013
407,"Cold End Job Change",2004-03-13,1,"Sydney",2004
410,"D Shift",2002-08-22,1,"Sydney",2002
411,"B Shift",2005-02-05,1,"Sydney",2005
412,"B Shift",2005-05-06,1,"Sydney",2005
417,"Stock Control",2010-10-02,1,"Sydney",2010
419,"Cold End Job Change",2011-08-29,1,"Sydney",2011
421,"Engineering",2011-10-15,1,"Sydney",2011
423,"A Shift",2013-11-12,1,"Sydney",2013
425,"Machine Maintenance",2011-10-30,1,"Sydney",2011
426,"A Shift",2013-11-12,1,"Sydney",2013
427,"A Shift",2004-07-11,1,"Sydney",2004
428,"D Shift",2008-01-26,1,"Sydney",2008
432,"B Shift",2004-09-03,1,"Sydney",2004
439,"Mould Repair",2011-03-26,1,"Sydney",2011
440,"Forming Job Change",2006-07-21,1,"Sydney",2006
441,"A Shift",2004-01-29,1,"Sydney",2004
444,"B Shift",2003-05-10,1,"Sydney",2003
446,"A Shift",2003-02-01,1,"Sydney",2003
447,"Mould Repair",2010-07-11,1,"Sydney",2010
450,"B Shift",2002-01-25,1,"Sydney",2002
452,"B Shift",2006-07-22,1,"Sydney",2006
453,"C Shift",2013-11-13,1,"Sydney",2013
454,"C Shift",2013-11-13,1,"Sydney",2013
455,"Business Services",2006-09-15,1,"Sydney",2006
458,"Plant Electrical Sydney",2013-11-15,1,"Sydney",2013
460,"O-I Sydney Plant",2017-04-12,1,"Sydney",2017
462,"Engineering",2000-01-15,1,"Sydney",2000
466,"D Shift",2001-12-13,1,"Sydney",2001
467,"D Shift",2013-11-13,1,"Sydney",2013
468,"B Shift",2006-10-29,1,"Sydney",2006
471,"Plant Procedures & Specifications (ISO)",2005-06-18,1,"Sydney",2005
475,"C Shift",2009-10-03,1,"Sydney",2009
476,"Maintenance-Cold End",2011-12-07,1,"Sydney",2011
477,"A Shift",2013-04-25,1,"Sydney",2013
478,"Batch & Furnace",2013-12-29,1,"Sydney",2013
481,"D Shift",2019-01-16,1,"Sydney",2019
482,"Stock Control",2007-07-08,1,"Sydney",2007
485,"Plant Procedures & Specifications (ISO)",2002-03-09,1,"Sydney",2002
488,"A Shift",2007-09-15,1,"Sydney",2007
490,"Plant Electrical Sydney",2013-11-28,1,"Sydney",2013
491,"A Shift",2009-07-05,1,"Sydney",2009
493,"Business Services",2001-11-14,1,"Sydney",2001
494,"Plant Mechanical Sydney",2013-11-13,1,"Sydney",2013
495,"Maintenance-Cold End",2013-03-25,1,"Sydney",2013
500,"Forming Job Change",2006-07-21,1,"Sydney",2006
502,"A Shift",2002-02-20,1,"Sydney",2002
504,"A Shift",2013-11-13,1,"Sydney",2013
513,"Machine Maintenance",2011-10-22,1,"Sydney",2011
516,"Maintenance-Cold End",2011-08-29,1,"Sydney",2011
519,"Mould Repair",2005-03-24,1,"Sydney",2005
522,"C Shift",2008-09-26,1,"Sydney",2008
524,"Mould Repair",2007-12-14,1,"Sydney",2007
525,"B Shift",2013-11-13,1,"Sydney",2013
530,"B Shift",2013-11-13,1,"Sydney",2013
534,"A Shift",2013-11-12,1,"Sydney",2013
535,"Stock Control",2007-08-11,1,"Sydney",2007
537,"Machine Maintenance",2012-11-17,1,"Sydney",2012
539,"Forming Job Change",2011-12-07,1,"Sydney",2011
542,"C Shift",2000-05-31,1,"Sydney",2000
546,"Mould Repair",2010-09-04,1,"Sydney",2010
548,"Plant Electrical Sydney",2013-11-13,1,"Sydney",2013
549,"Maintenance-Cold End",2011-10-30,1,"Sydney",2011
550,"Production Line Management 2",2018-10-20,1,"Sydney",2018
551,"B Shift",2008-01-25,1,"Sydney",2008
552,"C Shift",2012-07-01,1,"Sydney",2012
555,"Batch & Furnace",2013-12-29,1,"Sydney",2013
556,"D Shift",2015-09-07,1,"Sydney",2015
558,"Engineering",2003-02-01,1,"Sydney",2003
559,"D Shift",2018-10-04,1,"Sydney",2018
563,"Mould Repair",2006-07-08,1,"Sydney",2006
569,"C Shift",2006-07-21,1,"Sydney",2006
570,"Forming Job Change",2003-12-25,1,"Sydney",2003
571,"A Shift",2010-12-28,1,"Sydney",2010
572,"Machine Maintenance",2008-08-11,1,"Sydney",2008
573,"B Shift",2002-05-25,1,"Sydney",2002
578,"D Shift",2013-11-13,1,"Sydney",2013
579,"Mould Repair",2001-10-21,1,"Sydney",2001
581,"Mould Repair",2010-07-10,1,"Sydney",2010
582,"Mould Repair",2000-02-26,1,"Sydney",2000
583,"C Shift",2011-04-03,1,"Sydney",2011
584,"Mould Repair",2008-08-09,1,"Sydney",2008
585,"A Shift",2008-08-09,1,"Sydney",2008
587,"Maintenance-Cold End",2011-10-23,1,"Sydney",2011
601,"Batch & Furnace",2013-12-29,1,"Sydney",2013
602,"B Shift",2007-05-13,1,"Sydney",2007
608,"A Shift",2010-05-21,1,"Sydney",2010
611,"Customer Technical Services",2017-07-02,1,"Sydney",2017
613,"Occupational Health & Safety",2001-09-08,1,"Sydney",2001
614,"Batch and Furnace",2002-04-10,1,"Adelaide",2002
615,"Forming",2007-03-07,1,"Sydney",2007
617,"Batch & Furnace",2001-12-15,1,"Sydney",2001
619,"Operational Advancement",2017-08-17,1,"Sydney",2017
620,"C Shift",2018-04-17,1,"Sydney",2018
621,"Engineering",2007-12-04,1,"Sydney",2007
623,"Occupational Health & Safety",2002-09-07,1,"Sydney",2002
631,"Manufacturing",2013-11-13,1,"Sydney",2013
634,"Human Resources",2004-08-29,1,"Sydney",2004
638,"Manufacturing",2009-06-23,1,"Melbourne",2009
640,"Business Services",2003-09-01,1,"Sydney",2003
643,"Human Resources",2006-08-01,1,"Sydney",2006
645,"Quality Services",2013-11-22,1,"Sydney",2013
649,"Mould Repair",2003-07-05,1,"Sydney",2003
650,"B Shift",2003-05-06,1,"Sydney",2003
655,"Quality Services",2016-07-02,1,"Sydney",2016
656,"C Shift",2004-04-07,1,"Sydney",2004
660,"ACI Glass Packaging Penrith",2003-08-23,1,"Sydney",2003
661,"Machine Maintenance",2002-08-17,1,"Sydney",2002
662,"Human Resources",2003-07-05,1,"Sydney",2003
663,"Business Services",2002-12-19,1,"Sydney",2002
665,"Plant Procedures & Specifications (ISO)",2003-05-24,1,"Sydney",2003
666,"D Shift",2013-11-13,1,"Sydney",2013
667,"Batch & Furnace",2002-11-02,1,"Sydney",2002
669,"Cold End C Shift",2007-08-04,1,"Brisbane",2007
670,"D Shift",2013-04-01,1,"Brisbane",2013
673,"Distribution",2012-12-01,1,"Melbourne",2012
675,"Sales & Marketing O-I Australia",2017-07-08,1,"Melbourne",2017
676,"Forming",2005-01-01,1,"Adelaide",2005
678,"Human Resources O-I Asia Pacific",2017-01-01,1,"Melbourne",2017
680,"Manufacturing Support",2008-08-30,1,"Melbourne",2008
682,"Marketing",2007-12-01,1,"Melbourne",2007
691,"Human Resources O-I Asia Pacific",2013-12-21,1,"Melbourne",2013
692,"Customer Services",2009-03-07,1,"Melbourne",2009
694,"Human Resources",2002-03-16,1,"Brisbane",2002
695,"Applications",2011-02-05,1,"Melbourne",2011
698,"Plant Engineering",2006-01-06,1,"Melbourne",2006
700,"Risk Management",2016-11-01,1,"Melbourne",2016
704,"Human Resources",2004-11-20,1,"Adelaide",2004
706,"Business Services",2004-09-02,1,"Melbourne",2004
707,"Business Services",2013-09-26,1,"Brisbane",2013
