"pers_no","date","organizational_unit","location","pers_count","years"
10000012,2017-05-08,"Finished Products A Shift","Other",1,2017
10000066,2016-04-26,"Forming Services","Sydney",1,2016
10000081,2014-10-10,"Forming C Shift","Other",1,2014
10000082,2016-02-29,"Engineering","Sydney",1,2016
10000093,2012-10-09,"Forming B Shift","Other",1,2012
10000093,2012-10-09,"Forming D Shift","Other",1,2012
10000094,2017-04-10,"Finished Products C Shift","Other",1,2017
10000187,1986-09-03,"Administration","Brisbane",1,1986
10000187,1986-09-03,"Administration","Brisbane",1,1986
10000277,2001-02-15,"Engineering","Brisbane",1,2001
10000277,2001-02-15,"Engineering","Brisbane",1,2001
10000299,2010-06-11,"Temporary Resort","Sydney",1,2010
10000299,2010-06-11,"Temporary Resort","Sydney",1,2010
10000313,1990-04-17,"Administration","Brisbane",1,1990
10000313,1990-04-17,"Administration","Brisbane",1,1990
10000434,2006-12-04,"Electrical Inspection","Other",1,2006
10000434,2006-12-04,"Electrical Inspection","Sydney",1,2006
10000447,2008-04-03,"Engineering","Brisbane",1,2008
10000478,2008-12-09,"Purchasing","Brisbane",1,2008
10000505,2009-08-03,"Purchasing","Brisbane",1,2009
10000523,2010-02-02,"Sales","Brisbane",1,2010
10000523,2010-02-02,"Sales - Beer, Spirits, RTD & NAB","Brisbane",1,2010
10000533,2010-04-14,"Forming Services","Brisbane",1,2010
10000539,2010-06-11,"Temporary Resort","Sydney",1,2010
10000539,2010-06-11,"Temporary Resort","Sydney",1,2010
10000555,2011-04-04,"Administration","Brisbane",1,2011
10000555,2011-04-04,"Administration","Brisbane",1,2011
10000574,2011-08-01,"Logistics","Brisbane",1,2011
10000574,2011-08-01,"Supply Chain","Brisbane",1,2011
10000575,2011-08-22,"Finance","Brisbane",1,2011
10000577,2011-10-01,"Finance","Brisbane",1,2011
10000579,2018-08-13,"Finance","Brisbane",1,2018
10000579,2018-08-13,"Finance","Brisbane",1,2018
10000580,2012-01-01,"ACI Glass Packaging New Zealand","Brisbane",1,2012
10000581,2012-01-16,"Human Resources","Brisbane",1,2012
10000581,2012-01-16,"Human Resources","Brisbane",1,2012
10000584,2012-02-15,"Temporary Resort","Sydney",1,2012
10000585,2018-03-12,"Forming Services","Sydney",1,2018
10000587,2012-03-12,"Sales","Brisbane",1,2012
10000595,2016-05-23,"Machine Maintenance","Sydney",1,2016
10000598,2012-07-16,"Sales","Brisbane",1,2012
10000600,2012-08-13,"Marketing","Brisbane",1,2012
10000601,2012-08-28,"Temporary Resort","Sydney",1,2012
10000604,2012-09-17,"Purchasing","Brisbane",1,2012
10000609,2013-02-25,"Sales","Brisbane",1,2013
10000614,2013-04-02,"Finance","Brisbane",1,2013
10000615,2013-04-15,"Temporary Resort","Sydney",1,2013
10000615,2013-04-15,"Temporary Resort","Sydney",1,2013
10000616,2013-04-18,"Forming","Brisbane",1,2013
10000619,2013-05-13,"Sales","Brisbane",1,2013
10000623,2013-05-23,"Forming","Brisbane",1,2013
10000623,2013-05-23,"Forming","Brisbane",1,2013
10000626,2016-06-27,"Plant Maintenance","Sydney",1,2016
10000627,2013-07-15,"Sales","Brisbane",1,2013
10000627,2013-07-15,"Sales & Marketing","Brisbane",1,2013
10000627,2013-07-15,"Sales & Marketing","Brisbane",1,2013
10000627,2013-07-15,"Sales & Marketing","Brisbane",1,2013
10000627,2013-07-15,"Customer Service","Brisbane",1,2013
10000629,2013-08-25,"Finished Products D Shift","Other",1,2013
10000630,2013-09-04,"Forming Services","Sydney",1,2013
10000631,2013-09-16,"Plant Maintenance","Sydney",1,2013
10000632,2013-11-11,"Forming Services","Sydney",1,2013
10000633,2013-11-11,"Finished Products B Shift","Other",1,2013
10000634,2013-11-25,"Sales","Brisbane",1,2013
10000634,2015-04-15,"Purchasing","Brisbane",1,2015
10000635,2013-12-02,"Finished Products C Shift","Other",1,2013
10000636,2013-12-09,"Manufacturing","Brisbane",1,2013
10000636,2013-12-09,"Unit Plant Management","Brisbane",1,2013
10000637,2013-12-09,"Forming Services","Sydney",1,2013
10000638,2014-01-08,"Supply Chain","Other",1,2014
10000639,2014-01-28,"Marketing","Brisbane",1,2014
10000639,2014-01-28,"Sales & Marketing","Brisbane",1,2014
10000640,2014-02-03,"Supply Chain","Other",1,2014
10000642,2014-02-10,"Finished Products B Shift","Other",1,2014
10000644,2014-02-10,"Forming D Shift","Other",1,2014
10000645,2014-03-03,"Supply Chain","Brisbane",1,2014
10000646,2014-04-14,"Unit Plant Management","Brisbane",1,2014
10000646,2016-04-01,"Manufacturing","Brisbane",1,2016
10000646,2016-04-01,"Manufacturing","Brisbane",1,2016
10000647,2014-05-05,"Marketing","Brisbane",1,2014
10000648,2014-05-19,"Forming C Shift","Other",1,2014
10000649,2014-05-26,"Finished Products D Shift","Other",1,2014
10000650,2014-05-26,"Forming B Shift","Other",1,2014
10000651,2014-05-26,"Machine Maintenance","Sydney",1,2014
10000652,2014-05-26,"Manufacturing","Brisbane",1,2014
10000652,2014-05-26,"Administration","Brisbane",1,2014
10000653,2014-05-26,"Manufacturing","Brisbane",1,2014
10000653,2014-05-26,"Administration","Brisbane",1,2014
10000653,2014-05-26,"Administration","Brisbane",1,2014
10000653,2014-05-26,"Administration","Other",1,2014
10000654,2014-06-18,"Forming B Shift","Other",1,2014
10000655,2014-07-21,"Sales","Brisbane",1,2014
10000655,2014-07-21,"Sales & Marketing","Brisbane",1,2014
10000656,2014-07-28,"Plant Maintenance","Sydney",1,2014
10000657,2014-08-25,"Electrical","Sydney",1,2014
10000658,2014-09-01,"Marketing","Brisbane",1,2014
10000658,2014-09-01,"Sales - Wine, Food and Distributors","Brisbane",1,2014
10000658,2014-09-01,"Sales - Wine, Food and Distributors","Brisbane",1,2014
10000659,2014-09-08,"Finance","Brisbane",1,2014
10000660,2014-09-22,"Human Resources","Brisbane",1,2014
10000661,2014-11-03,"Temporary Resort","Sydney",1,2014
10000661,2014-11-03,"Temporary Resort","Sydney",1,2014
10000662,2014-11-03,"Temporary Resort","Sydney",1,2014
10000662,2014-11-03,"Temporary Resort","Sydney",1,2014
10000663,2014-11-03,"Temporary Resort","Sydney",1,2014
10000663,2014-11-03,"Temporary Resort","Sydney",1,2014
10000664,2015-01-05,"Temporary Resort","Sydney",1,2015
10000664,2019-06-23,"Finished Products D Shift","Other",1,2019
10000665,2015-01-27,"Forming Services","Sydney",1,2015
10000666,2015-03-02,"Customer Technical Services","Brisbane",1,2015
10000666,2015-03-02,"Customer Technical Services","Brisbane",1,2015
10000667,2015-03-16,"Temporary Resort","Sydney",1,2015
10000667,2015-03-16,"Temporary Resort","Sydney",1,2015
10000668,2015-04-13,"Forming","Brisbane",1,2015
10000668,2016-02-01,"Forming","Brisbane",1,2016
10000668,2016-02-01,"Forming","Brisbane",1,2016
10000669,2015-05-04,"Purchasing","Brisbane",1,2015
10000670,2015-06-15,"Temporary Resort","Sydney",1,2015
10000671,2015-06-22,"Temporary Resort","Sydney",1,2015
