"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
1,"Auto Terminations","Retrenchment(2008+)","Commercial O-I Asia Pacific",2018-12-21,-1,1,"Other",2018
2,"Auto Terminations","Retrenchment(2008+)","Wine Segment",2013-12-21,-1,1,"Other",2013
3,"Auto Terminations","Resignation","Sales & Marketing Australia",2006-01-01,-1,1,"Brisbane",2006
6,"Auto Terminations","Resignation","Sales South Australia",2008-04-05,-1,1,"Adelaide",2008
9,"Auto Terminations","Resignation","Marketing",2007-09-29,-1,1,"Melbourne",2007
10,"Auto Terminations","Retirement","Sales South Australia",2007-08-18,-1,1,"Adelaide",2007
12,"Auto Terminations","Resignation","Marketing",2002-08-24,-1,1,"Melbourne",2002
13,"Auto Terminations","Approved Early Retirement","Sales",2003-12-20,-1,1,"Melbourne",2003
42,"Auto Terminations","Illness Disability","E Shift",2001-01-23,-1,1,"Other",2001
46,"Auto Terminations","Resignation","Machine Maintenance",2003-08-09,-1,1,"Other",2003
100,"Auto Terminations","Resignation","Machine Maintenance",2001-10-06,-1,1,"Other",2001
101,"Auto Terminations","Resignation","",2003-09-12,-1,1,"Other",2003
107,"Auto Terminations","Resignation","Audit and Resort",2001-10-16,-1,1,"Other",2001
132,"Auto Terminations","Resignation","D Shift",2003-08-17,-1,1,"Other",2003
139,"Auto Terminations","Resignation","Batch & Furnace",2011-12-10,-1,1,"Brisbane",2011
140,"Auto Terminations","Resignation","Analytical Services",2001-05-05,-1,1,"Melbourne",2001
172,"Auto Terminations","Retrenchment(2008+)","Analytical Services",2013-06-29,-1,1,"Melbourne",2013
177,"Auto Terminations","Retrenchment(2008+)","Analytical Services",2013-06-29,-1,1,"Melbourne",2013
289,"Auto Terminations","Resignation","Plant Procedures & Specifications (ISO)",2003-09-17,-1,1,"Sydney",2003
290,"Auto Terminations","Illness Disability","C Shift",2016-03-05,-1,1,"Sydney",2016
291,"Auto Terminations","Resignation","Maintenance-Cold End",2003-01-11,-1,1,"Sydney",2003
292,"Auto Terminations","Resignation","Cold End Job Change",2001-11-12,-1,1,"Sydney",2001
294,"Auto Terminations","Resignation","B Shift",2003-04-26,-1,1,"Sydney",2003
296,"Auto Terminations","Resignation","A Shift",2002-05-31,-1,1,"Sydney",2002
298,"Auto Terminations","Illness Disability","C Shift",2008-08-16,-1,1,"Sydney",2008
300,"Auto Terminations","Resignation","D Shift",2010-10-24,-1,1,"Sydney",2010
